aalib 1.4rc5-18
rocm-llvm 6.0.2-1
rocm-opencl-runtime 6.0.2-1
rocm-smi-lib 6.0.2-1
rocminfo 6.0.2-1
rocprim 6.0.2-1
rocrand 6.0.2-1
rocsolver 6.0.2-1
rocsparse 6.0.2-2
rocthrust 6.0.2-1
roctracer 6.0.2-1
rpcbind 1.2.6-4
rtkit 0.13-2
rubberband 3.3.0-1
rustup 1.27.1-1
sbc 2.0-1
sdl2 2.30.4-1
sdl2_image 2.8.2-4
seabios 1.16.3-1
seatd 0.8.0-1
sed 4.9-3
semver 7.6.2-1
serd 0.32.2-1
shaderc 2024.1-1
shadow 4.15.1-2
shared-mime-info 2.4-1
slang 2.3.3-2
slurp 1.5.0-1
snap-pac 3.0.1-3
snap-pac-grub 2.0.3-2
snapper 0.11.0-1
snappy 1.1.10-1
sord 0.16.16-1
source-highlight 3.1.9-12
spdlog 1.14.1-1
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.2-1
spice-gtk 0.42-3
spice-protocol 0.14.4-1
spirv-tools 2024.2-1
sqlite 3.46.0-1
sratom 0.6.16-1
srt 1.5.3-1
stfl 0.24-5
stow 2.4.0-1
sudo 1.9.15.p5-1
svt-av1 2.1.0-1
sway 1:1.9-4
swaylock 1.7.2-2
systemd 256.1-1
systemd-libs 256.1-1
systemd-sysvcompat 256.1-1
taglib 2.0.1-1
tar 1.35-2
tesseract 5.4.1-1
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.1-2
thin-provisioning-tools 1.0.12-1
tofi 0.9.1-2
tpm2-tss 4.0.1-1
tracker3 3.7.3-2
tree-sitter 0.22.6-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.4-1
tree-sitter-lua 0.1.0-2
tree-sitter-markdown 0.2.3-2
tree-sitter-python 0.21.0-2
tree-sitter-query 0.3.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-dejavu-nerd 3.2.1-2
twolame 0.4.0-4
tzdata 2024a-2
uchardet 0.0.8-2
unibilium 2.1.1-2
unzip 6.0-21
usbredir 0.13.0-1
util-linux 2.40.1-1
util-linux-libs 2.40.1-1
v4l-utils 1.26.1-1
vapoursynth R68-1
vde2 2.3.3-5
verdict 1.4.2-1
vid.stab 1.1.1-1
virglrenderer 1.0.1-2
virt-install 4.1.0-3
virt-manager 4.1.0-3
virtiofsd 1.11.0-1
vmaf 3.0.0-1
vte-common 0.76.3-1
vte3 0.76.3-1
vulkan-headers 1:1.3.285-1
vulkan-icd-loader 1.3.285-1
wavpack 5.7.0-1
wayland 1.23.0-1
webrtc-audio-processing-1 1.3-2
which 2.21-6
wireplumber 0.5.5-1
wl-clipboard 1:2.2.1-1
wlroots 0.17.4-1
wolfssl 5.7.0-1
wpa_supplicant 2:2.10-8
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-desktop-portal-wlr 0.7.0-2
xdg-utils 1.2.1-1
xkeyboard-config 2.42-1
xorg-xprop 1.2.7-1
xorg-xset 1.2.5-1
xorgproto 2024.1-2
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
zathura 0.5.6-2
zathura-pdf-mupdf 0.4.3-4
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.4.2-2
zlib 1:1.3.1-2
zstd 1.5.6-1
